address1,city,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,operatingMargins,financialCurrency,trailingPegRatio,fax,irWebsite,bid,ask,enterpriseToEbitda,ebitda,ebitdaMargins,bidSize,askSize,address2,state
"25, Avenue Matignon",Paris,75008,France,33 1 40 75 57 00,https://www.axa.com,Insurance - Diversified,insurance-diversified,Insurance - Diversified,Financial Services,financial-services,Financial Services,"AXA SA, through its subsidiaries, provides insurance, asset management, and banking services worldwide. The company operates through six segments: France; Europe; AXA XL; Asia, Africa & EME-LATAM; AXA Investment Managers; and Transversal & Other segments It offers life and savings insurance products, such as savings and retirement, other health, and personal protection products. The company also provides property and casualty insurance products, including car, home, and personal or professional liability to individual and business clients; international insurance for large corporate clients in Europe; and marine and aviation insurance services, as well as property and casualty reinsurance products. In addition, it offers asset management services in the areas of various asset classes, including equities, bonds, hedge funds, private equity, and real estate for the group's insurance companies and their clients, and retail and institutional clients. Further, the company provides motor, household, property and general liability, health, term life, whole life, universal life, endowment, deferred and immediate annuities, and other investment-based products for personal/individual and commercial/ group customers. AXA SA was founded in 1852 and is headquartered in Paris, France.",94705,"[{'maxAge': 1, 'name': 'Dr. Thomas  Buberl', 'age': 51, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 3040675, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Helen  Browne', 'age': 62, 'title': 'Group General Counsel & Employee Representative Director', 'yearBorn': 1962, 'fiscalYear': 2023, 'totalPay': 96204, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Alban  de Mailly Nesle', 'age': 54, 'title': 'Group Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Alexander  Vollert', 'age': 55, 'title': 'Group COO & CEO of AXA Group Operations', 'yearBorn': 1969, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Gregoire de Montchalin', 'title': 'Chief Accounting & Reporting Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anu  Venkataraman', 'title': 'Group Chief Strategy Officer & Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Andrew  Wallace-Barnett', 'title': 'Group Chief Compliance Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ulrike  Decoene', 'title': 'Group Chief Communication, Brand & Sustainability Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Karima  Silvent', 'age': 50, 'title': 'Group Chief Human Resources Officer', 'yearBorn': 1974, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Mr. Frederic Marie de Courtois D'Arcollières"", 'age': 57, 'title': 'Group Deputy Chief Executive Officer', 'yearBorn': 1967, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",5,2,1,6,1,1738368000,1703980800.0,86400,2,37.56,37.62,37.52,37.7,37.56,37.62,37.52,37.7,1.98,0.052699998,1714435200.0,0.613,5.3,1.22,11.631578,9.396752,306965,306965,4109606,4200916,4200916,82522505216,29.04,37.71,0.911287,34.6464,33.7479,1.98,0.05271565,EUR,80087302144.0,0.08145001,1611543473,2196499968,0.20587,0.36992002,2203040000,21.693,1.731895,1703980800,1735603200,1719705600,0.049,7176999936,3.23,3.82,4:1,989971200.0,0.884,0.22624874,0.19995654,1.98,1714435200.0,PAR,EQUITY,CS.PA,CS.PA,AXA,AXA SA,651481200,Europe/Paris,CET,8d6b474a-15eb-38c4-9e9e-2bff261dcf4c,finmb_121238,3600000,37.57,46.0,36.0,40.51,40.0,1.82353,buy,17,74334003200.0,34.062,60778000384.0,5.627,7.875,90555998208,102.986,40.865,0.00976,0.13161999,13672999936,-2974374912.0,8659999744.0,0.06,0.081,0.15099,0.12669,EUR,1.2566,,,,,,,,,,,
Karakaari 7,Espoo,02610,Finland,358 1044 88000,https://www.nokia.com,Communication Equipment,communication-equipment,Communication Equipment,Technology,technology,Technology,"Nokia Oyj provides mobile, fixed, and cloud network solutions worldwide. The company operates through four segments: Network Infrastructure, Mobile Networks, Cloud and Network Services, and Nokia Technologies. The company provides fixed networking solutions, such as fiber and copper-based access infrastructure, in-home Wi-Fi solutions, and cloud and virtualization services; IP networking solutions, including IP access, aggregation, and edge and core routing for residential, mobile, enterprise and cloud applications; optical networks solutions that provides optical transport networks for metro, regional, and long-haul applications, and subsea applications; and submarine networks for undersea cable transmission. It serves its products and services to communications service providers, webscales and hyperscalers, digital industries, and government. The company also offers mobile technology products and services for radio access networks and microwave radio links for transport networks, network management solutions, as well as network planning, optimization, network deployment, and technical support services. In addition, it offers cloud and network services, including core network solutions, such as voice and packet core; business applications, such as security, automation, and monetization; cloud and cognitive services; and enterprise solutions, including private wireless and industrial automation. Further, the company licenses intellectual property, including patents, technologies, and the Nokia brand. Nokia Oyj was founded in 1865 and is headquartered in Espoo, Finland.",86689,"[{'maxAge': 1, 'name': 'Mr. Pekka Ilmari Lundmark M.Sc.(Eng.)', 'age': 61, 'title': 'President & CEO', 'yearBorn': 1963, 'fiscalYear': 2023, 'totalPay': 2498201, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Marco  Wiren M.Sc. (Econ.)', 'age': 58, 'title': 'Chief Financial Officer', 'yearBorn': 1966, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephan  Prosi', 'title': 'Vice President of Corporate Controlling & Accounting', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nishant  Batra', 'age': 46, 'title': 'Chief Strategy & Technology Officer', 'yearBorn': 1978, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David Terence Mulholland C.F.A.', 'title': 'Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Esa  Niinimaki', 'age': 48, 'title': 'Chief Legal Officer, Corporate & Secretary to the Board', 'yearBorn': 1976, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Louise  Fisk', 'age': 48, 'title': 'Chief Communications Officer', 'yearBorn': 1976, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lorna  Gibb', 'age': 48, 'title': 'Chief People Officer', 'yearBorn': 1976, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Maria Rosaria Varsellona J.D., L.L.B.', 'age': 54, 'title': 'Executive Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lise  Karstensen', 'title': 'Head of Nordic&Baltic, Global Enterprise & Public Sector and Country Director of Denmark', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",1,1,1,1,1,1735689600,1703980800.0,86400,4,4.66,4.659,4.644,4.764,4.66,4.659,4.644,4.764,0.12,0.0279,1729468800.0,0.82629997,2.45,0.737,15.312903,13.498067,3347778,3347778,12100949,15575883,15575883,25467418624,3.0475,4.764,1.2880547,4.31462,3.9095974,,,EUR,19418052608.0,0.02094,4343611151,5364950016,0.0637,0.35458001,5364950016,3.733,1.2716315,1703980800,1735603200,1727654400,0.216,914000000,0.31,0.32,,,0.982,0.38587356,0.19995654,0.03,1738540800.0,HEL,EQUITY,NOKIA.HE,NOKIA.HE,Nokia Corporation,Nokia Oyj,946886400,Europe/Helsinki,EET,6006abb0-db04-3451-952e-e8771884496b,finmb_205573,7200000,4.747,6.05,3.7,4.82522,4.68,2.30435,buy,23,8757000192.0,1.606,4609999872.0,1.314,1.676,19772000256,22.538,3.591,0.03243,0.04488,8780000256,4018500096.0,4155000064.0,0.506,-0.081,0.44405997,0.086689994,EUR,1.5957,358 1044 81002,http://www.nokia.com/global/about-nokia/investors/investors/,4.747,4.747,6.766,2870000128.0,0.14515,,,,
Adi-Dassler-Strasse 1,Herzogenaurach,91074,Germany,49 91 32 84 0,https://www.adidas-group.com,Footwear & Accessories,footwear-accessories,Footwear & Accessories,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"adidas AG, together with its subsidiaries, designs, develops, produces, and markets athletic and sports lifestyle products in Europe, the Middle East, Africa, North America, Greater China, the Asia-Pacific, and Latin America. It offers footwear, apparel, and accessories and gear, such as bags and balls under the adidas brand; golf footwear and apparel under the adidas Golf brand; and outdoor footwear under the Five Ten brand. It sells its products through its own retail stores; mono-branded franchise stores and shop-in-shops; and wholesale and its e-commerce channels. The company was formerly known as adidas-Salomon AG and changed its name to adidas AG in June 2006. adidas AG was founded in 1920 and is headquartered in Herzogenaurach, Germany.",51561,"[{'maxAge': 1, 'name': 'Mr. Bjorn  Gulden', 'age': 59, 'title': 'CEO & Member of Executive Board', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 5814527, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Harm  Ohlmeyer', 'age': 56, 'title': 'CFO & Member of Executive Board', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 2288205, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Martin  Shankland', 'age': 53, 'title': 'Head of Global Operations & Member of Executive Board', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 2105106, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Arthur  Hold', 'age': 55, 'title': 'Head of Global Sales & Member of Executive Board', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 1667744, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Guenter  Weigl', 'age': 59, 'title': 'SVP of Global Sports Mktg. & Brand Relations and Employee Representative Member of Supervisory Board', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 208000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Petra  Auerbacher', 'age': 55, 'title': 'Project Manager Creative Direction & Employee Representative Member of Supervisory Board', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 105000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Frank  Scheiderer', 'age': 47, 'title': 'Director of Finance Strategy & Programs and Employee Representative Member of the Supervisory Board', 'yearBorn': 1977, 'fiscalYear': 2023, 'totalPay': 208000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Michelle  Robertson', 'age': 49, 'title': 'Global Head of HR, People & Culture and Member of Executive Board', 'yearBorn': 1975, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sebastian  Steffen', 'title': 'Senior Vice President of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Jan  Heinemann', 'title': 'General Counsel', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",2,3,9,1,6,1738368000,1703980800.0,86400,2,253.6,253.3,253.3,255.7,253.6,253.3,253.3,255.7,0.7,0.0028,1715904000.0,0.32860002,1.3,1.163,119.8122,33.038765,31939,31939,354524,316799,316799,45565702144,169.02,262.8,2.0225356,243.444,228.6225,0.7,0.0027602522,EUR,49465049088.0,0.018819999,166332756,178548992,0.06859,0.51125,178620000,28.905,8.828922,1703980800,1735603200,1727654400,0.71,381000000,2.13,7.4,4:1,1149552000.0,2.196,0.45546377,0.19995654,0.7,1715904000.0,GER,EQUITY,ADS.DE,ADS.DE,adidas AG                     N,adidas AG,898671600,Europe/Berlin,CET,bc014e19-8a83-385c-a82b-6527eb551ec8,finmb_92816,3600000,255.2,300.0,160.0,261.56897,274.0,2.34483,buy,29,1780999936.0,9.975,5584000000.0,0.575,1.316,22528999424,100.74,126.383,0.02981,0.08054,11201999872,2029175040.0,2784000000.0,0.709,0.073,0.49723,0.092580006,EUR,0.6127,49 91 32 84 0,http://www.adidas-group.com/en/investorrelations/default.aspx,255.1,255.2,35.663,1387000064.0,0.06157,37900.0,75600.0,,
Santander Group City,Madrid,28660,Spain,34 912 89 00 00,https://www.santander.com,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,"Banco Santander, S.A. provides various financial services worldwide. The company operates through Retail Banking, Santander Corporate & Investment Banking, Wealth Management & Insurance, and PagoNxt segments. It offers demand and time deposits, mutual funds, and current and savings accounts; mortgages, consumer finance, loans, and various financing solutions; and project finance, debt capital markets, global transaction banking, and corporate finance services. The company also provides asset management and private banking services; and insurance products. In addition, it offers corporate and investment banking services, and digital payment solutions. Further, it offers online banking and financial services to retail, business, institutional, corporate, private banking and university customers and clients. The company was formerly known as Banco Santander Central Hispano SA and changed its name to Banco Santander, S.A. in February 2007. Banco Santander, S.A. was founded in 1856 and is headquartered in Madrid, Spain.",208080,"[{'maxAge': 1, 'name': ""Ms. Ana Botin-Sanz de Sautuola y O'Shea"", 'age': 64, 'title': 'Group Executive Chairwoman', 'yearBorn': 1960, 'fiscalYear': 2023, 'totalPay': 11544000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Hector Blas Grisi Checa', 'age': 58, 'title': 'Group CEO & Group Director', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 8257000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jose Antonio Garcia-Cantera', 'age': 58, 'title': 'Senior EVP & Group Chief Financial Officer', 'yearBorn': 1966, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Dirk  Ludwig Marzluf', 'age': 54, 'title': 'Group Chief Operating & Technology Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kamran  Butt', 'title': 'Chief Investment Officer & Head of Product', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jose Francisco Doncel Razola', 'age': 63, 'title': 'Senior EVP & Group Chief Accounting Officer', 'yearBorn': 1961, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jose Maria Linares Perou', 'age': 53, 'title': 'Senior EVP and Global Head of Corporate & Investment Banking', 'yearBorn': 1971, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Begona  Morenes', 'title': 'Global Head of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jaime  Perez Renovales', 'age': 56, 'title': 'Senior EVP, Group Head of General Secretariat, General Counsel & Secretary of the Board', 'yearBorn': 1968, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marjolein  van Hellemondt-Gerdingh', 'age': 60, 'title': 'Group Chief Compliance Officer & Senior EVP', 'yearBorn': 1964, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",2,8,5,7,6,1738368000,1703980800.0,86400,2,5.527,5.51,5.48,5.547,5.527,5.51,5.48,5.547,0.2,0.0401,1730246400.0,0.2375,5.11,1.32,7.166234,6.405405,5620453,5620453,29163603,41091122,41091122,83584458752,3.6215,5.636,1.7489948,4.67952,4.5420327,,,EUR,48709013504.0,0.25616,15202395900,15147599872,0.01496,0.32689998,15770399744,6.277,0.8790824,1703980800,1735603200,1727654400,0.12,11749999616,0.77,0.52,24:23,1605484800.0,1.019,0.49176788,0.19995654,0.1,1730246400.0,MCE,EQUITY,SAN.MC,SAN.MC,BANCO SANTANDER S.A.,"Banco Santander, S.A.",946886400,Europe/Madrid,CET,ab3fe52e-812b-388c-b2e7-4a813a13513c,finmb_323930,3600000,5.518,6.85,4.7,6.00714,5.96,1.85714,buy,21,414208000000.0,26.914,377680003072.0,,,47789998080,,3.044,0.0073900004,0.12866999,47789998080,,,0.177,0.047,,0.41599998,EUR,2.6843,,http://www.santander.com/csgs/Satellite?appID=santander.wc.CFWCSancomQP01&canal=CSCORP&cid=1278677292437&empr=CFWCSancomQP01&leng=en_GB&pagename=CFWCSancomQP01%2FPage%2FCFQP01_PageSubhome5_PT6,5.519,5.52,,,,,,Av. de Cantabria s/n Boadilla del Monte,
KOeniginstrasse 28,Munich,80802,Germany,49 89 3800 0,https://www.allianz.com,Insurance - Diversified,insurance-diversified,Insurance - Diversified,Financial Services,financial-services,Financial Services,"Allianz SE, together with its subsidiaries, provides property-casualty insurance, life/health insurance, and asset management products and services worldwide. The company's Property-Casualty segment offers various insurance products, including motor liability and own damage, accident, general liability, fire and property, legal expense, credit, and travel to private and corporate customers. Its Life/Health segment provides a range of life and health insurance products on an individual and a group basis, such as annuities, endowment and term insurance, and unit-linked and investment-oriented products, as well as private and supplemental health, and long-term care insurance products. The company's Asset Management segment offers institutional and retail asset management products and services to third-party investors comprising equity and fixed income funds, and multi-assets; and alternative investment products that include real estate, infrastructure debt/equity, real assets, liquid alternatives, and solutions. Its Corporate and Other segment provides banking services for retail clients, as well as digital investment services. Allianz SE was founded in 1890 and is headquartered in Munich, Germany.",157883,"[{'maxAge': 1, 'name': 'Mr. Oliver  Bate', 'age': 59, 'title': 'Chairman of the Management Board & CEO', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 5184000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Gunther  Thallinger', 'age': 52, 'title': 'Member of the Management Board', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 2595000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Klaus-Peter  Rohler', 'age': 60, 'title': 'Member of the Management Board', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 2600000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Madam Renate  Wagner', 'age': 49, 'title': 'Member of the Management Board', 'yearBorn': 1975, 'fiscalYear': 2023, 'totalPay': 2603000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christopher George Townsend', 'age': 56, 'title': 'Member of the Management Board', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 2496000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Barbara  Karuth-Zelle Ph.D.', 'age': 55, 'title': 'COO & Member of the Management Board', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 2623000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Andreas Georg Wimmer', 'age': 50, 'title': 'Member of Management Board', 'yearBorn': 1974, 'fiscalYear': 2023, 'totalPay': 2590000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sirma Gencheva Boshnakova', 'age': 53, 'title': 'Member of the Board of Management', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 2517000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Claire-Marie Thomas Coste-Lepoutre', 'age': 49, 'title': 'CFO & Member of the Board of Management', 'yearBorn': 1975, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Euler  Hermes', 'title': 'Member of the Management Board', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",1,5,4,1,3,1738368000,1703980800.0,86400,2,318.4,319.0,318.5,320.1,318.4,319.0,318.5,320.1,13.8,0.0433,1715212800.0,0.5691,5.05,1.063,13.173949,11.456823,84620,84620,585217,530718,530718,123418976256,238.3,320.1,1.2670702,302.496,281.9425,,,EUR,95617679360.0,0.09866,386157224,386167008,3e-05,0.40528,387404992,149.587,2.1365492,1703980800,1735603200,1727654400,0.223,9466000384,24.26,27.19,,,0.982,0.29299498,0.19995654,13.8,1715212800.0,GER,EQUITY,ALV.DE,ALV.DE,Allianz SE                    v,Allianz SE,850723200,Europe/Berlin,CET,cbaadd90-a94a-3d4a-a8a2-4be87f5ea519,finmb_598807,3600000,319.6,376.0,295.0,325.9081,324.5,2.125,buy,16,30957000704.0,80.156,,117.674,220.795,97405001728,,248.538,0.00866,0.16646999,10529000448,,,0.25,0.063,0.108100004,0.14661,EUR,1.1962,,,319.5,319.6,6.477,14762999808.0,0.15156001,214900.0,10000.0,,
